# PIMCID: 123456789
#  nodes  elems                 w             thick             young           poisson            radius          pressure
     494    898   0.149824128E+00   0.510000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.141571790E+00   0.520000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.133934736E+00   0.530000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.126863331E+00   0.540000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.120288603E+00   0.550000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.114168338E+00   0.560000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.108462542E+00   0.570000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.103149153E+00   0.580000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.981840268E-01   0.590000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.935333595E-01   0.600000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.891884640E-01   0.610000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.851145014E-01   0.620000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.812946633E-01   0.630000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.777028501E-01   0.640000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.743282065E-01   0.650000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.711487755E-01   0.660000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.681605190E-01   0.670000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.653377697E-01   0.680000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.626762211E-01   0.690000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.601615906E-01   0.700000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.577856340E-01   0.710000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.555365756E-01   0.720000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.534096844E-01   0.730000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.513928793E-01   0.740000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.494830050E-01   0.750000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.476697944E-01   0.760000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.459472314E-01   0.770000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.443133265E-01   0.780000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.427547805E-01   0.790000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.412747711E-01   0.800000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.398651250E-01   0.810000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.385214314E-01   0.820000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.372423604E-01   0.830000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.360220857E-01   0.840000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.348557718E-01   0.850000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.337449685E-01   0.860000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.326812714E-01   0.870000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.316643678E-01   0.880000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.306930393E-01   0.890000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.297614243E-01   0.900000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.288708843E-01   0.910000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.280173030E-01   0.920000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.271998439E-01   0.930000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.264154132E-01   0.940000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.256628189E-01   0.950000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.249418989E-01   0.960000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.242484994E-01   0.970000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.235823952E-01   0.980000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.229421314E-01   0.990000000E+02   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
     494    898   0.223264135E-01   0.100000000E+03   0.203943008E+05   0.289999992E+00   0.250000000E+03   0.141000003E+00
