# PIMCID: 234567891
#   elem          X           Y        AREA           W
     146     43.295     -95.752      116.71     0.83278    
     147     59.004     -90.346      104.31     0.82114    
     148     66.048     -81.785      119.13     0.83278    
     149     79.404     -73.116      102.35     0.82113    
     150     84.547     -62.523      120.95     0.83276    
     151     94.947     -51.393      100.95     0.82111    
     152     97.591     -39.211      122.17     0.83275    
     153     104.67     -26.512      100.11     0.82110    
     154     104.33     -13.359      122.77     0.83274    
     155     107.98      0.0000      99.831     0.82110    
     156     104.33      13.359      122.77     0.83275    
     157     104.67      26.512      100.11     0.82110    
     158     97.591      39.211      122.17     0.83275    
     159     94.947      51.393      100.95     0.82112    
     160     84.547      62.523      120.95     0.83277    
     161     79.404      73.116      102.35     0.82113    
     162     66.048      81.785      119.13     0.83278    
     163     59.004      90.346      104.31     0.82113    
     164     43.295      95.752      116.71     0.83278    
     165     35.002      102.03      106.83     0.82113    
     166     17.764      103.52      113.67     0.83277    
     167     8.8766      107.45      109.91     0.82111    
     168     8.8643     -115.76      109.46     0.78477    
     169     17.741     -111.94      112.72     0.79713    
     170     35.025     -110.74      106.81     0.78479    
     171     43.398     -104.75      115.33     0.79714    
     172     59.359     -99.878      104.59     0.78480    
     173     66.671     -91.751      117.48     0.79714    
     174     80.578     -83.745      102.82     0.78479    
     175     86.267     -73.671      119.15     0.79713    
     176     97.561     -63.192      101.48     0.78478    
     177     101.10     -51.507      120.34     0.79712    
     178     109.41     -39.301      100.59     0.78476    
     179     110.34     -26.488      121.06     0.79711    
     180     115.49     -13.335      100.16     0.78476    
     181     113.48      0.0000      121.30     0.79711    
     182     115.49      13.335      100.16     0.78476    
     183     110.34      26.488      121.06     0.79711    
     184     109.41      39.301      100.59     0.78477    
     185     101.10      51.507      120.34     0.79712    
     186     97.561      63.192      101.48     0.78478    
     187     86.267      73.671      119.15     0.79714    
     188     80.578      83.745      102.82     0.78479    
     189     66.671      91.751      117.48     0.79714    
     190     59.359      99.878      104.59     0.78479    
     191     43.398      104.75      115.33     0.79714    
     192     35.025      110.74      106.81     0.78479    
     193     17.741      111.94      112.72     0.79712    
     194     8.8643      115.76      109.46     0.78476    
     195     8.8516     -124.05      109.07     0.74639    
     196     17.716     -120.32      111.90     0.75942    
     197     35.032     -119.37      106.75     0.74641    
     198     43.465     -113.62      114.20     0.75943    
     199     59.625     -109.23      104.80     0.74642    
     200     67.146     -101.48      116.10     0.75944    
     201     81.500     -94.075      103.18     0.74642    
     202     87.621     -84.470      117.63     0.75943    
     203     99.653     -74.612      101.94     0.74641    
     204     103.91     -63.408      118.77     0.75942    
     205     113.25     -51.727      101.05     0.74639    
     206     115.22     -39.304      119.55     0.75940    
     207     121.67     -26.471      100.51     0.74639    
     208     121.01     -13.314      119.92     0.75940    
     209     124.52      0.0000      100.33     0.74638    
     210     121.01      13.314      119.92     0.75940    
     211     121.67      26.471      100.51     0.74639    
     212     115.22      39.304      119.55     0.75941    
     213     113.25      51.727      101.05     0.74640    
     214     103.91      63.408      118.77     0.75942    
     215     99.653      74.612      101.94     0.74641    
     216     87.621      84.470      117.63     0.75943    
     217     81.500      94.075      103.18     0.74642    
     218     67.146      101.48      116.10     0.75943    
     219     59.625      109.23      104.80     0.74642    
     220     43.465      113.62      114.20     0.75942    
     221     35.032      119.37      106.75     0.74640    
     222     17.716      120.32      111.90     0.75940    
     223     8.8516      124.05      109.07     0.74638    
     224     8.8390     -132.32      108.72     0.70608    
     225     17.691     -128.65      111.20     0.71974    
     226     35.029     -127.94      106.68     0.70611    
     227     43.506     -122.40      113.23     0.71976    
     228     59.826     -118.42      104.94     0.70612    
     229     67.512     -111.01      114.93     0.71976    
     230     82.233     -104.15      103.48     0.70612    
     231     88.700     -94.968      116.33     0.71976    
     232     101.35     -85.696      102.31     0.70611    
     233     106.18     -74.946      117.42     0.71975    
     234     116.40     -63.797      101.45     0.70609    
     235     119.22     -51.781      118.20     0.71973    
     236     126.79     -39.333      100.85     0.70608    
     237     127.27     -26.445      118.66     0.71973    
     238     132.08     -13.289      100.57     0.70608    
     239     129.99      0.0000      118.82     0.71973    
     240     132.08      13.289      100.57     0.70608    
     241     127.27      26.445      118.66     0.71973    
     242     126.79      39.333      100.85     0.70609    
     243     119.22      51.781      118.20     0.71974    
     244     116.40      63.797      101.45     0.70610    
     245     106.18      74.946      117.42     0.71975    
     246     101.35      85.696      102.31     0.70611    
     247     88.700      94.968      116.33     0.71976    
     248     82.233      104.15      103.48     0.70611    
     249     67.512      111.01      114.93     0.71976    
     250     59.826      118.42      104.94     0.70611    
     251     43.506      122.40      113.23     0.71974    
     252     35.029      127.94      106.68     0.70609    
     253     17.691      128.65      111.20     0.71972    
